ID,Inches,Price,ram_gb,weight_kg,touchscreen,ips_panel,cpu_ghz,cpu_gen,ssd_gb,hdd_gb,flash_gb,gpu_tier,ppi,total_storage_gb,has_ssd,has_hdd,has_dedicated_gpu,cpu_tier_score,ram_log2,log_price,Company_Acer,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,TypeName_2 in 1 Convertible,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,cpu_brand_AMD,cpu_brand_Intel,cpu_brand_Other,cpu_tier_Atom,cpu_tier_Celeron,cpu_tier_Other,cpu_tier_Pentium,cpu_tier_Ryzen,cpu_tier_Xeon,cpu_tier_i3,cpu_tier_i5,cpu_tier_i7,gpu_brand_AMD,gpu_brand_Intel,gpu_brand_Nvidia,os_Linux,os_NoOS,os_Win10,os_WinOther,os_macOS
1022,13.3,61218.72,8,1.11,0,1,2.5,7,256,0,0,0,165.6321180513006,256,1,0,0,5,3.0,11.022224638820209,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1023,14.0,63159.7104,8,1.64,0,0,2.7,7,256,0,0,1,157.3505121487356,256,1,0,1,6,3.0,11.053437715931404,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
1024,15.6,55754.3232,8,2.09,0,0,2.4,6,0,500,0,0,141.21199808219862,500,0,1,0,5,3.0,10.928728168172187,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1025,12.5,83063.52,4,1.26,0,0,2.5,7,256,0,0,0,125.36742798669837,256,1,0,0,5,2.0,11.327372934196768,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1026,14.0,63349.92,4,2.31,0,0,2.5,7,0,500,0,0,111.93520355955211,500,0,1,0,5,2.0,11.056444708137915,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1027,14.0,56476.8,4,1.95,0,0,2.5,7,0,500,0,0,111.93520355955211,500,0,1,0,5,2.0,10.94160291956712,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1028,13.3,86526.72,8,1.29,1,0,2.5,7,256,0,0,0,276.053530085501,256,1,0,0,5,3.0,11.3682201040106,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1029,17.3,57542.4,8,2.63,0,0,2.5,7,256,0,0,1,127.33567457123111,256,1,0,1,5,3.0,10.960294724688996,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
1030,14.0,51841.44,4,1.64,0,0,2.5,7,256,0,0,0,111.93520355955211,256,1,0,0,5,2.0,10.855964397819733,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1031,15.6,21791.52,6,2.1,0,0,2.5,0,0,1024,0,1,100.45466986113651,1024,0,1,1,3,2.584962500721156,9.989322070632241,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
